endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Risoleta Neves, 27 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;1150.0;26;1;0;1;5
Avenida Ernesto Trotta - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;1400.0;32;1;0;1;5
Avenida Gilka Machado, 149 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;1000.0;40;1;0;1;5
Tijuca, Rio de Janeiro - RJ;1200.0;45;1;0;1;5
Rua das Laranjeiras - Laranjeiras, Rio de Janeiro - RJ;2200.0;70;1;1;1;5
Rua Voluntários da Pátria, 415 - Botafogo, Rio de Janeiro - RJ;2500.0;53;1;0;1;5
Recreio Dos Bandeirantes, Rio de Janeiro - RJ;600.0;30;1;0;1;5
Rua Costa Bastos, 34 - Santa Teresa, Rio de Janeiro - RJ;750.0;25;1;0;1;5
Rua Tomás Cerqueira, 120 - Paquetá, Rio de Janeiro - RJ;1200.0;50;1;0;1;5
Rua Doutor Bulhões, 444 - Engenho De Dentro, Rio de Janeiro - RJ;900.0;45;1;1;1;5
Avenida Venceslau Brás - Botafogo, Rio de Janeiro - RJ;1800.0;40;1;0;1;5
Rua Navarro da Costa, 224 - Marechal Hermes, Rio de Janeiro - RJ;900.0;50;1;1;1;5
Rua do Governo, 676 - Realengo, Rio de Janeiro - RJ;500.0;45;1;1;1;5
Rua Correa Dutra - Catete, Rio de Janeiro - RJ;1400.0;40;1;0;1;5
Rua Campos Sales, 37 - Tijuca, Rio de Janeiro - RJ;1000.0;39;1;0;1;5
Rua Figueiredo Magalhães - Copacabana, Rio de Janeiro - RJ;1700.0;53;1;1;1;5
Rua General Roca - Tijuca, Rio de Janeiro - RJ;1600.0;60;1;1;2;5
Avenida Nossa Senhora de Fátima - Centro, Rio de Janeiro - RJ;1450.0;30;1;0;1;6
Catete, Rio de Janeiro - RJ;1400.0;35;1;0;1;6
Leme, Rio de Janeiro - RJ;2200.0;50;1;0;1;6
Praia Botafogo - Botafogo, Rio de Janeiro - RJ;1600.0;36;1;0;1;6
Rua Jornalista Henrique Cordeiro, 270 - Barra da Tijuca, Rio de Janeiro - RJ;2400.0;65;1;1;2;6
Rua Aníbal de Mendonça, 16 - Ipanema, Rio de Janeiro - RJ;2200.0;30;1;0;1;6
Rua Sá Ferreira - Copacabana, Rio de Janeiro - RJ;1850.0;40;1;0;1;6
Rua Santo Amaro, 172 - Glória, Rio de Janeiro - RJ;1000.0;35;1;0;1;6
Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ;3000.0;48;1;1;1;6
Rua Visconde de Pirajá, 207 - Ipanema, Rio de Janeiro - RJ;3700.0;60;1;1;2;6
Rua Barão de Mesquita, 463 - Tijuca, Rio de Janeiro - RJ;1250.0;44;1;0;1;6
Rua Barão de São Francisco, 20 - Andaraí, Rio de Janeiro - RJ;1350.0;65;1;0;1;6
Rua Buarque de Macedo, 53 - Flamengo, Rio de Janeiro - RJ;1800.0;32;1;0;1;6
Rua Fonseca, 1030 - Bangu, Rio de Janeiro - RJ;700.0;45;1;1;1;6
